date,close,volume,open,high,low,symbol
2022-08-26,68.87,13750150,74.32,74.35,68.76,SQ
2022-08-25,74.63,8979232,73.15,74.77,72.11,SQ
2022-08-24,72.62,9751396,71.54,74.64,71.37,SQ
2022-08-23,70.94,12146500,72.52,74.21,70.85,SQ
2022-08-22,73.01,13297430,72.37,75.52,71.33,SQ
2022-08-19,74.36,13024120,77.4,77.88,73.8802,SQ
2022-08-18,79.72,11799700,80.44,80.55,78.27,SQ
2022-08-17,80.33,15368530,83.53,84.44,79.93,SQ
2022-08-16,85.88,12197980,86.23,87.1,82.07,SQ
2022-08-15,86.72,9905151,87.72,89.1937,86.02,SQ
2022-08-12,87.95,10433160,88.01,88.63,85.01,SQ
2022-08-11,85.99,15075910,90.87,92.1,85.36,SQ
2022-08-10,88.84,16527760,86.76,89.03,84.42,SQ
2022-08-09,81.13,13286960,84.18,84.87,79.95,SQ
2022-08-08,85.5,19001540,88.05,91.8,84.87,SQ
2022-08-05,87.73,31022630,83.65,93.1899,82.8776,SQ
2022-08-04,89.7,22719350,88.15,90.67,86.83,SQ
2022-08-03,88.07,26179540,81.03,88.83,80.7,SQ
2022-08-02,79.09,12648890,76.62,80.77,76.36,SQ
2022-08-01,77.81,11563080,75.48,79.05,74.45,SQ
2022-07-29,76.06,10554320,73.23,76.09,72.725,SQ
2022-07-28,74.68,11281580,73.04,75.16,70.51,SQ
2022-07-27,72.76,13865450,68.46,72.94,67.6,SQ
2022-07-26,66.39,10924140,69.09,69.23,65.9,SQ
2022-07-25,71.43,9267746,72.04,72.47,69.6,SQ
2022-07-22,71.8,12130130,74.66,76.44,70.96,SQ
2022-07-21,74.76,14683040,73.31,75.17,72.17,SQ
2022-07-20,74.78,18594280,70.0,75.24,69.22,SQ
2022-07-19,69.25,16120430,66.94,69.3076,64.265,SQ
2022-07-18,66.27,14204950,67.88,69.5899,65.83,SQ
2022-07-15,65.98,12267150,64.19,66.04,62.7001,SQ
2022-07-14,62.42,11377080,63.27,63.75,61.0396,SQ
2022-07-13,64.15,13548750,62.2,65.61,60.82,SQ
2022-07-12,65.03,14386650,63.96,66.5364,63.13,SQ
2022-07-11,63.23,11151340,66.15,66.88,63.05,SQ
2022-07-08,67.02,16403240,66.8,68.97,64.75,SQ
2022-07-07,68.63,13885200,65.13,69.58,64.51,SQ
2022-07-06,64.97,11788090,66.6,68.47,64.28,SQ
2022-07-05,66.73,14514960,61.84,66.91,60.35,SQ
2022-07-01,63.9,15218060,61.95,65.14,61.86,SQ
2022-06-30,61.46,16793050,62.75,63.0,59.08,SQ
2022-06-29,63.84,13450900,64.77,65.722,62.41,SQ
2022-06-28,65.6,14808180,69.1,70.2,64.81,SQ
2022-06-27,69.43,14687430,70.79,71.75,66.95,SQ
2022-06-24,71.0,23357170,68.22,71.01,66.83,SQ
2022-06-23,67.27,23240170,61.41,67.63,60.8,SQ
2022-06-22,60.65,15109400,59.43,62.88,59.24,SQ
2022-06-21,60.52,17100120,59.72,62.6136,59.45,SQ
2022-06-17,58.51,21814810,56.21,59.45,56.01,SQ
2022-06-16,57.51,22705170,60.42,61.14,56.723,SQ
2022-06-15,62.91,24356710,61.17,64.4269,60.47,SQ
2022-06-14,60.3,23258520,63.52,63.69,59.4501,SQ
2022-06-13,62.76,26455820,66.16,68.78,62.5,SQ
2022-06-10,71.87,21307190,75.86,76.24,70.23,SQ
